app	tab_set	tab	group	controls	in_scope
Word	None (Backstage View)	TabHelp	GroupBackstagePrivacy	1	1
Word	None (Backstage View)	TabHelp	GroupOfficeInsider	4	1
Word	None (Backstage View)	TabHelp	GroupUpdateChannel	1	1
Word	None (Backstage View)	TabInfo	GroupCheckIn	1	1
Word	None (Backstage View)	TabInfo	GroupFileConvert	1	1
Word	None (Backstage View)	TabInfo	GroupPermissions	5	1
Word	None (Backstage View)	TabInfo	GroupPrepareForSharing	1	1
Word	None (Backstage View)	TabPrint	GroupPrintSettings	1	1
Word	None (Backstage View)	TabPublish	PublishGroup	8	1
Word	None (Backstage View)	TabRecent	GroupModernOpenPlaces	52	1
Word	None (Backstage View)	TabRecent	GroupOpenPlaces	15	1
Word	None (Backstage View)	TabSave	ModernSaveGroup	50	1
Word	None (Backstage View)	TabSave	SaveGroup	10	1
Word	None (Backstage View)	TabShare	GroupShare	21	1
Word	None (Context Menu)	ContextMenu3DModel	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuCanvas	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuGraphic	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuObjectsGroup	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuPicture	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuShape	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuShapeConnector	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuShapeFreeform	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuSmartArtBackground	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuSmartArtEditSmartArt	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuSmartArtEditText	InsertLinkGallery	1	1
Word	None (Context Menu)	ContextMenuTextEdit	InsertLinkGallery	1	1
Word	None (Context Menu)	None (Context Menu)	ContextMenu3DModel	38	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuBroadcast	5	0
Word	None (Context Menu)	None (Context Menu)	ContextMenuCanvas	36	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartArea	29	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartAxis	19	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartAxisTitle	18	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartBackWall	10	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDataLabel	22	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDataLabels	12	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDataPoint	17	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDataSeries	19	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDataTable	11	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDisplayUnit	20	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDownBars	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartDropLines	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartErrorBars	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartFloor	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartGridlines	11	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartHighLowLine	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartLeaderLines	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartLegend	11	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartLegendEntry	12	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartParetoLine	1	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartPlotArea	11	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartSeriesLine	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartSideWall	10	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartTitle	19	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartTrendline	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartTrendlineLabel	20	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartUpBars	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuChartWalls	9	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuConflicts	2	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuGraphic	47	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuInk	28	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuLockedReadingMode	17	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuObjectEditPoint	8	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuObjectEditSegment	7	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuObjectsGroup	39	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuPicture	51	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuShape	42	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuShapeConnector	37	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuShapeFreeform	42	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuSmartArtBackground	37	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuSmartArtContentPane	15	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuSmartArtEdit1DShape	14	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuSmartArtEdit1DShapeText	22	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuSmartArtEditSmartArt	37	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuSmartArtEditText	37	1
Word	None (Context Menu)	None (Context Menu)	ContextMenuTextEdit	34	1
Word	None (Context Menu)	None (Context Menu)	HyperlinkOpenDefaultSettingMenu	2	1
Word	None (Context Menu)	None (Context Menu)	HyperlinkOpenInMenu	2	1
Word	None (Context Menu)	None (Context Menu)	InsertLinkGallery	1	1
Word	None (Context Menu)	None (Context Menu)	ObjectBringToFrontMenu	3	1
Word	None (Context Menu)	None (Context Menu)	ObjectSendToBackMenu	3	1
Word	None (Context Menu)	None (Context Menu)	TextWrapGallery	4	1
Word	None (Core Tab)	HelpTab	GroupHelpAndSupport	6	0
Word	None (Core Tab)	TabBackgroundRemoval	GroupBackgroundRemovalClose	2	1
Word	None (Core Tab)	TabBackgroundRemoval	GroupBackgroundRemovalMode	3	1
Word	None (Core Tab)	TabBlogInsert	GroupBlogInsertLinks	3	0
Word	None (Core Tab)	TabBlogInsert	GroupBlogInsertText	6	0
Word	None (Core Tab)	TabBlogInsert	GroupBlogSymbols	2	0
Word	None (Core Tab)	TabBlogInsert	GroupInsertIllustrations	23	0
Word	None (Core Tab)	TabBlogInsert	GroupInsertTables	7	0
Word	None (Core Tab)	TabBlogInsert	GroupOfficeExtension	23	0
Word	None (Core Tab)	TabBlogPost	GroupBlogBasicText	27	0
Word	None (Core Tab)	TabBlogPost	GroupBlogProofing	20	0
Word	None (Core Tab)	TabBlogPost	GroupBlogPublish	8	0
Word	None (Core Tab)	TabBlogPost	GroupBlogStyles	5	0
Word	None (Core Tab)	TabBlogPost	GroupClipboard	12	0
Word	None (Core Tab)	TabBroadcastPresentation	GroupBroadcastBroadcast	8	0
Word	None (Core Tab)	TabBroadcastPresentation	GroupBroadcastTools	1	0
Word	None (Core Tab)	TabConflicts	GroupClipboard	12	0
Word	None (Core Tab)	TabConflicts	GroupComments	16	0
Word	None (Core Tab)	TabConflicts	GroupConflicts	8	0
Word	None (Core Tab)	TabConflicts	GroupConflictsClose	1	0
Word	None (Core Tab)	TabConflicts	GroupInk	4	0
