SCHEMA                            elements  complexTypes  simpleTypes
-------------------------------- --------- ------------- ------------
dml-chartDrawing                        43            14            1
dml-chart                              444           136           68
dml-diagram                            133            58           66
dml-lockedCanvas                         1             0            0
dml-main                               475           231           94
dml-picture                              6             2            0
dml-spreadsheetDrawing                  55            17            3
dml-wordprocessingDrawing               64            20            7
pml                                    315           149           58
shared-additionalCharacteristics         2             2            1
shared-bibliography                     77             7            1
shared-customXmlDataProperties           3             3            0
shared-customXmlSchemaProperties         2             2            0
shared-documentPropertiesCustom          2             2            0
shared-documentPropertiesExtended        28             4            0
shared-documentPropertiesVariantTypes        34             6            4
shared-math                            177            72           14
sml                                    628           367           96
vml-main                                23            23           12
vml-officeDrawing                       32            25           23
vml-presentationDrawing                  2             2            0
vml-spreadsheetDrawing                  68             1            2
vml-wordprocessingDrawing                6             3            6
wml                                    784           285          110
TOTAL declared elements               3404
